,lines
5915,"The nearer cliffs, at each side of the bay, were streaked here and there with lines of white which everyone knew to be waterfalls, though at that distance they did not show any movement or make any noise."
5916,Indeed the whole place was very silent and the water of the bay as smooth as glass.
5917,It reflected every detail of the cliffs.
5918,The scene would have been pretty in a picture but was rather oppressive in real life.
5919,It was not a country that welcomed visitors.
5920,"The whole ship's company went ashore in two boatloads and everyone drank and washed deliciously in the river and had a meal and a rest before Caspian sent four men back to keep the ship, and the day's work began."
5921,There was everything to be done.
5922,The casks must be brought ashore and the faulty ones mended if possible and all refilled; a tree - a pine if they could get it - must be felled and made into a new mast; sails must be repaired; a hunting party organized to shoot any game the land might yield; clothes to be washed and mended; and countless small breakages on board to be set right.
5923,For the Dawn Treader herself - and this was more obvious now that they saw her at a distance - could hardly be recognized as the same gallant ship which had left Narrowhaven.
5924,"She looked a crippled, discoloured hulk which anyone might have taken for a wreck."
5925,"And her officers and crew were no better - lean, pale, red-eyed from lack of sleep, and dressed in rags."
5926,As Eustace lay under a tree and heard all these plans being discussed his heart sank.
5927,Was there going to be no rest? It looked as if their first day on the longed-for land was going to be quite as hard work as a day at sea.
5928,Then a delightful idea occurred to him.
5929,Nobody was looking they were all chattering about their ship as if they actually liked the beastly thing.
5930,"Why shouldn't he simply slip away? He would take a stroll inland, find a cool, airy place up in the mountains, have a good long sleep, and not rejoin the others till the day's work was over."
5931,He felt it would do him good.
5932,But he would take great care to keep the bay and the ship in sight so as to be sure of his way back.
5933,He wouldn't like to be left behind in this country.
5934,He at once put his plan into action.
5935,"He rose quietly from his place and walked away among the trees, taking care to go slowly and in an aimless manner so that anyone who saw him would think he was merely stretching his legs."
5936,He was surprised to find how quickly the noise of conversation died away behind hiin and how very silent and warm and dark green the wood became.
5937,Soon he felt he could venture on a quicker and more determined stride.
5938,This soon brought him out of the wood.
5939,The ground began sloping steeply up in front of him.
5940,"The grass was dry and slippery but manageable if he used his hands as well as his feet, and though he panted and mopped his forehead a good deal, he plugged away steadily."
5941,"This showed, by the way, that his new life, little as he suspected it, had already done him some good; the old Eustace, Harold and Alberta's Eustace, would have given up the climb after about ten minutes."
5942,"Slowly, and with several rests, he reached the ridge."
5943,"Here he had expected to have a view into the heart of the island, but the clouds had now come lower and nearer and a sea of fog was rolling to meet him."
5944,He sat down and looked back.
5945,He was now so high that the bay looked small beneath him and miles of sea were visible.
5946,"Then the fog from the mountains closed in all round him, thick but not cold, and he lay down and turned this way and that to find the most comfortable position to enjoy himself."
5947,"But he didn't enjoy himself, or not for very long."
5948,"He began, almost for the first time in his life, to feel lonely."
5949,At first this feeling grew very gradually.
5950,And then he began to worry about the time.
5951,There was not the slightest sound.
5952,Suddenly it occurred to him that he might have been lying there for hours.
5953,Perhaps the others had gone! Perhaps they had let him wander away on purpose simply in order to leave him behind! He leaped up in a panic and began the descent.
5954,"At first he tried to do it too quickly, slipped on the steep grass, and slid for several feet."
5955,Then he thought this had carried him too far to the left - and as he came up he had seen precipices on that side.
5956,"So he clambered up again, as near as he could guess to the place he had started from, and began the descent afresh, bearing to his right."
5957,After that things seemed to be going better.
5958,"He went very cautiously, for he could not see more than a yard ahead, and there was still perfect silence all around him."
5959,"It is very unpleasant to have to go cautiously when there is a voice inside you saying all the time, Hurry, hurry, hurry."
5960,For every moment the terrible idea of being left behind grew stronger.
5961,"If he had understood Caspian and the Pevensies at all he would have known, of course, that there was not the least chance of their doing any such thing."
5962,But he had persuaded himself that they were all fiends in human form.
5963,"At last! said Eustace as he came slithering down a slide of loose stones (scree, they call it) and found himself on the level."
5964,"And now, where are those trees? There is something dark ahead."
5965,"Why, I do believe the fog is clearing."
5966,It was.
5967,The light increased every moment and made him blink.
5968,The fog lifted.
5969,He was in an utterly unknown valley and the sea was nowhere in sight.
5970,  CHAPTER SIX  THE ADVENTURES OF EUSTACE  AT that very moment the others were washing hands and faces in the river and generally getting ready for dinner and a rest.
5971,The three best archers had gone up into the hills north of the bay and returned laden with a pair of wild goats which were now roasting over a fire.
5972,"Caspian had ordered a cask of wine ashore, strong wine of Archenland which had to be mixed with water before you drank it, so there would be plenty for all."
5973,The work had gone well so far and it was a merry meal.
5974,"Only after the second helping of goat did Edmund say, Where's that blighter Eustace?  Meanwhile Eustace stared round the unknown valley."
5975,"It was so narrow and deep, and the precipices which surrounded it so sheer, that it was like a huge pit or trench."
5976,"The floor was grassy though strewn with rocks, and here and there Eustace saw black burnt patches like those you see on the sides of a railway embankment in a dry summer."
5977,"About fifteen yards away from him was a pool of clear, smooth water."
5978,"There was, at first, nothing else at all in the valley; not an animal, not a bird, not an insect."
5979,The sun beat down and grim peaks and horns of mountains peered over the valley's edge.
5980,"Eustace realized of course that in the fog he had come down the wrong side of the ridge, so he turned at once to see about getting back."
5981,But as soon as he had looked he shuddered.
5982,"Apparently he had by amazing luck found the only possible way down - a long green spit of land, horribly steep and narrow, with precipices on either side."
5983,There was no other possible way of getting back.
5984,"But could he do it, now that he saw what it was really like? His head swam at the very thought of it."
5985,"He turned round again, thinking that at any rate he'd better have a good drink from the pool first."
5986,But as soon as he had turned and before he had taken a step forward into the valley he heard a noise behind him.
5987,It was only a small noise but it sounded loud in that immense silence.
5988,It froze him dead-still where he stood for a second.
5989,Then he slewed round his neck and looked.
5990,"At the bottom of the cliff a little on his left hand was a low, dark hole - the entrance to a cave perhaps."
5991,And out of this two thin wisps of smoke were coming.
5992,And the loose stones just beneath the dark hollow were moving (that was the noise he had heard) just as if something were crawling in the dark behind them.
5993,Something was crawling.
5994,"Worse still, something was coming out."
5995,"Edmund or Lucy or you would have recognized it at once, but Eustace had read none of the right books."
5996,"The thing that came out of the cave was something he had never even imagined - along lead-coloured snout, dull red eyes, no feathers or fur, a long lithe body that trailed on the ground, legs whose elbows went up higher than its back like a spider's cruel claws, bat's wings that made a rasping noise on the stones, yards of tail."
5997,And the lines of smoke were coming from its two nostrils.
5998,He never said the word Dragon to himself.
5999,Nor would it have made things any better if he had.
6000,But perhaps if he had known something about dragons he would have been a little surprised at this dragon's behaviour.
6001,"It did not sit up and clap its wings, nor did it shoot out a stream of flame from its mouth."
6002,The smoke from its nostrils was like the smoke of a fire that will not last much longer.
6003,Nor did it seem to have noticed Eustace.
6004,It moved very slowly towards the pool - slowly and with many pauses.
6005,"Even in his fear Eustace felt that it was an old, sad creature."
6006,He wondered if he dared make a dash for the ascent.
6007,But it might look round if he made any noise.
6008,It might come more to life.
6009,Perhaps it was only shamming.
6010,"Anyway, what was the use of trying to escape by climbing from a creature that could fly?  It reached the pool and slid its horrible scaly chin down over the gravel to drink: but before it had drunk there came from it a great croaking or clanging cry and after a few twitches and convulsions it rolled round on its side and lay perfectly still with one claw in the air."
6011,A little dark blood gushed from its wide-opened mouth.
6012,The smoke from its nostrils turned black for a moment and then floated away.
6013,No more came.
6014,"this was the brute's trick, the way it lured travellers to their doom."
6015,But one couldn't wait for ever.
6016,"He took a step nearer, then two steps, and halted again."
6017,The dragon remained motionless; he noticed too that the red fire had gone out of its eyes.
6018,At last he came up to it.
6019,He was quite sure now that it was dead.
6020,With a shudder he touched it; nothing happened.
6021,The relief was so great that Eustace almost laughed out loud.
6022,He began to feel as if he had fought and killed the dragon instead of merely seeing it die.
6023,"He stepped over it and went to the pool for his drink, for the heat was getting unbearable."
6024,He was not surprised when he heard a peal of thunder.
6025,Almost immediately afterwards the sun disappeared and before he had finished his drink big drops of rain were falling.
6026,The climate of this island was a very unpleasant one.
6027,In less than a minute Eustace was wet to the skin and half blinded with such rain as one never sees in Europe.
6028,There was no use trying to climb out of the valley as long as this lasted.
6029,He bolted for the only shelter in sight - the dragon's cave.
6030,There he lay down and tried to get his breath.
6031,"Most of us know what we should expect to find in a dragon's lair, but, as I said before, Eustace had read only the wrong books."
6032,"They had a lot to say about exports and imports and governments and drains, but they were weak on dragons."
6033,That is why he was so puzzled at the surface on which he was lying.
6034,"Parts of it were too prickly to be stones and too hard to be thorns, and there seemed to be a great many round, flat things, and it all clinked when he moved."
6035,There was light enough at the cave's mouth to examine it by.
6036,And of course Eustace found it to be what any of us could have told him in advance - treasure.
6037,"There were crowns (those were the prickly things), coins, rings, bracelets, ingots, cups, plates and gems."
6038,Eustace (unlike most boys) had never thought much of treasure but he saw at once the use it would be in this new world which he had so foolishly stumbled into through the picture in Lucy's bedroom at home.
6039,"They don't have any tax here, he said, And you don't have to give treasure to the government."
6040,With some of this stuff I could have quite a decent time here - perhaps in Calormen.
6041,It sounds the least phoney of these countries.
6042,I wonder how much I can carry? That bracelet now - those things in it are probably diamonds - I'll slip that on my own wrist.
6043,"Too big, but not if I push it right up here above my elbow."
6044,Then fill my pockets with diamonds - that's easier than gold.
6045,"I wonder when this infernal rain's going to let up? He got into a less uncomfortable part of the pile, where it was mostly coins, and settled down to wait."
6046,"But a bad fright, when once it is over, and especially a bad fright following a mountain walk, leaves you very tired."
6047,Eustace fell asleep.
6048,By the time he was sound asleep and snoring the others had finished dinner and became seriously alarmed about him.
6049,"They shouted, Eustace! Eustace! Coo-ee! till they were hoarse and Caspian blew his horn."
6050,"He's nowhere near or he'd have heard that, said Lucy with a white face."
6051,"Confound the fellow, said Edmund."
6052,"What on earth did he want to slink away like this for?  But we must do something, said Lucy."
6053,"He may have got lost, or fallen into a hole, or been captured by savages."
6054,"Or killed by wild beasts, said Drinian."
6055,"And a good riddance if he has, I say, muttered Rhince."
6056,"Master Rhince, said Reepicheep, you never spoke a word that became you less."
6057,"The creature is no friend of mine but he is of the Queen's blood, and while he is one of our fellowship it concerns our honour to find him and to avenge him if he is dead."
6058,"Of course we've got to find him (if we can), said Caspian wearily."
6059,That's the nuisance of it.
6060,It means a search party and endless trouble.
6061,Bother Eustace.
6062,Meanwhile Eustace slept and slept - and slept.
6063,What woke him was a pain in his arm.
6064,"The moon was shining in at the mouth of the cave, and the bed of treasures seemed to have grown much more comfortable: in fact he could hardly feel it at all."
6065,"He was puzzled by the pain in his arm at first, but presently it occurred to him that the bracelet which he had shoved up above his elbow had become strangely tight."
6066,His arm must have swollen while he was asleep (it was his left arm).
6067,"He moved his right arm in order to feel his left, but stopped before he had moved it an inch and bit his lip in terror."
6068,"For just in front of him, and a little on his right, where the moonlight fell clear on the floor of the cave, he saw a hideous shape moving."
6069,He knew that shape: it was a dragon's claw.
6070,It had moved as he moved his hand and became still when he stopped moving his hand.
6071,"Oh, what a fool I've been, thought Eustace."
6072,"Of course, the brute had a mate and it's lying beside me."
6073,For several minutes he did not dare to move a muscle.
6074,"He saw two thin columns of smoke going up before his eyes, black against the moonlight; just as there had been smoke coming from the other dragon's nose before it died."
6075,This was so alarming that he held his breath.
6076,The two columns of smoke vanished.
6077,When he could hold his breath no longer he let it out stealthily; instantly two jets of smoke appeared again.
6078,But even yet he had no idea of the truth.
6079,Presently he decided that he would edge very cautiously to his left and try to creep out of the cave.
6080,Perhaps the creature was asleep - and anyway it was his only chance.
6081,But of course before he edged to the left he looked to the left.
6082,Oh horror! there was a dragon's claw on that side too.
6083,No one will blame Eustace if at this moment he shed tears.
6084,He was surprised at the size of his own tears as he saw them splashing on to the treasure in front of him.
6085,They also seemed strangely hot; steam went up from them.
6086,But there was no good crying.
6087,He must try to crawl out from between the two dragons.
6088,He began extending his right arm.
6089,The dragon's fore-leg and claw on his right went through exactly the same motion.
6090,Then he thought he would try his left.
6091,The dragon limb on that side moved too.
6092,"Two dragons, one on each side, mimicking whatever he did! His nerve broke and he simply made a bolt for it."
6093,"There was such a clatter and rasping, and clinking of gold, and grinding of stones, as he rushed out of the cave that he thought they were both following him."
6094,He daren't look back.
6095,He rushed to the pool.
6096,The twisted shape of the dead dragon lying in the moonlight would have been enough to frighten anyone but now he hardly noticed it.
6097,His idea was to get into the water.
6098,But just as he reached the edge of the pool two things happened.
6099,"First of all it came over him like a thunder-clap that he had been running on all fours - and why on earth had he been doing that? And secondly, as he bent towards the water, he thought for a second that yet another dragon was staring up at him out of the pool."
6100,But in an instant he realized the truth.
6101,The dragon face in the pool was his own reflection.
6102,There was no doubt of it.
6103,It moved as he moved: it opened and shut its mouth as he opened and shut his.
6104,He had turned into a dragon while he was asleep.
6105,"Sleeping on a dragon's hoard with greedy, dragonish thoughts in his heart, he had become a dragon himself."
6106,That explained everything.
6107,There had been no two dragons beside him in the cave.
6108,The claws to right and left had been his own right and left claw.
6109,The two columns of smoke had been coming from his own nostrils.
6110,As for the pain in his left arm (or what had been his left arm) he could now see what had happened by squinting with his left eye.
6111,"The bracelet which had fitted very nicely on the upper arm of a boy was far too small for the thick, stumpy foreleg of a dragon."
6112,It had sunk deeply into his scaly flesh and there was a throbbing bulge on each side of it.
6113,He tore at the place with his dragon's teeth but could not get it off.
6114,"In spite of the pain, his first feeling was one of relief."
6115,There was nothing to be afraid of any more.
6116,He was a terror himself and nothing in the world but a knight (and not all of those) would dare to attack him.
6117,He could get even with Caspian and Edmund now But the moment he thought this he realized that he didn't want to.
6118,He wanted to be friends.
6119,He wanted to get back among humans and talk and laugh and share things.
6120,He realized that he was a monster cut off from the whole human race.
6121,An appalling loneliness came over him.
6122,He began to see that the others had not really been fiends at all.
6123,He began to wonder if he himself had been such a nice person as he had always supposed.
6124,He longed for their voices.
6125,He would have been grateful for a kind word even from Reepicheep.
6126,When he thought of this the poor dragon that had been Eustace lifted up its voice and wept.
6127,A powerful dragon crying its eyes out under the moon in a deserted valley is a sight and a sound hardly to be imagined.
6128,At last he decided he would try to find his way back to the shore.
6129,He realized now that Caspian would never have sailed away and left him.
6130,And he felt sure that somehow or other he would be able to make people understand who he was.
6131,"He took a long drink and then (I know this sounds shocking, but it isn't if you think it over) he ate nearly all the dead dragon."
6132,"He was half-way through it before he realized what he was doing; for, you see, though his mind was the mind of Eustace, his tastes and his digestion were dragonish."
6133,And there is nothing a dragon likes so well as fresh dragon.
6134,That is why you so seldom find more than one dragon in the same county.
6135,Then he turned to climb out of the valley.
6136,He began the climb with a jump and as soon as he jumped he found that he was flying.
6137,He had quite forgotten about his wings and it was a great surprise to him - the first pleasant surprise he had had for a long time.
6138,He rose high into the air and saw innumerable mountain-tops spread out beneath him in the moonlight.
6139,He could see the bay like a silver slab and the Dawn Treader lying at anchor and camp fires twinkling in the woods beside the beach.
6140,From a great height he launched himself down towards them in a single glide.
6141,Lucy was sleeping very soundly for she had sat up till the return of the search party in hope of good news about Eustace.
6142,It had been led by Caspian and had come back late and weary.
6143,Their news was disquieting.
6144,They had found no trace of Eustace but had seen a dead dragon in a valley.
6145,"They tried to make the best of it and everyone assured everyone else that there were not likely to he more dragons about, and that one which was dead at about three o'clock that afternoon (which was when they had seen it) would hardly have been killing people a very few hours before."
6146,"Unless it ate the little brat and died of him: he'd poison anything, said Rhince."
6147,But he said this under his breath and no one heard it.
6148,"But later in the night Lucy was wakened, very softly, and found the whole company gathered close together and talking in whispers."
6149,What is it? said Lucy.
6150,"We must all show great constancy, Caspian was saying."
6151,A dragon has just flown over the tree-tops and lighted on the beach.
6152,"Yes, I am afraid it is between us and the ship."
6153,And arrows are no use against dragons.
6154,And they're not at all afraid of fire.
6155,With your Majesty's leave- began Reepicheep.
6156,"No, Reepicheep, said the King very firmly, you are not to attempt a single combat with it."
6157,And unless you promise to obey me in this matter I'll have you tied up.
6158,"We must just keep close watch and, as soon as it is light, go down to the beach and give it battle."
6159,I will lead.
6160,King Edmund will be on my right and the Lord Drinian on my left.
6161,There are no other arrangements to be made.
6162,It will be light in a couple of hours.
6163,In an hour's time let a meal be served out and what is left of the wine.
6164,And let everything be done silently.
6165,"Perhaps it will go away, said Lucy."
6166,"It'll be worse if it does, said Edmund, because then we shan't know where it is."
6167,If there's a wasp in the room I like to be able to see it.
6168,"The rest of the night wa dreadful, and when the meal came, though they knew they ought to eat, many found that they had very poor appetites."
6169,"And endless hours seemed to pass before the darkness thinned and birds began chirping here and there and the world got colder and wetter than it had been all night and Caspian said, Now for it, friends."
6170,"They got up, all with swords drawn, and formed themselves into a solid mass with Lucy in the middle and Reepicheep on her shoulder."
6171,It was nicer than the waiting about and everyone felt fonder of everyone else than at ordinary times.
6172,A moment later they were marching.
6173,It grew lighter as they came to the edge of the wood.
6174,"And there on the sand, like a giant lizard, or a flexible crocodile, or a serpent with legs, huge and horrible and humpy, lay the dragon."
6175,"But when it saw them, instead of rising up and blowing fire and smoke, the dragon retreated - you could almost say it waddled - back into the shallows of the bay."
6176,What's it wagging its head like that for? said Edmund.
6177,"And now it's nodding, said Caspian."
6178,"And there's something coming from its eyes, said Drinian."
6179,"Oh, can't you see, said Lucy."
6180,It's crying.
6181,Those are tears.
6182,"I shouldn't trust to that, Ma'am, said Drinian."
6183,"That's what crocodiles do, to put you off your guard."
6184,"It wagged its head when you said that, remarked Edmund."
6185,Just as if it meant No.
6186,"Look, there it goes again."
6187,Do you think it understands what we're saying? asked Lucy.
6188,The dragon nodded its head violently.
6189,Reepicheep slipped off Lucy's shoulder and stepped to the front.
6190,"Dragon, came his shrill voice, can you understand speech?  The dragon nodded."
6191,Can you speak?  It shook its head.
6192,"Then, said Reepicheep, it is idle to ask you your business."
6193,But if you will swear friendship with us raise your left foreleg above your head.
6194,"It did so, but clumsily because that leg was sore and swollen with the golden bracelet  Oh look, said Lucy, there's something wrong with its leg."
6195,The poor thing - that's probably what it was crying about.
6196,Perhaps it came to us to be cured like in Androcles and the lion.
6197,"Be careful, Lucy, said Caspian."
6198,It's a very clever dragon but it may be a liar.
6199,"Lucy had, however, already run forward, followed by Reepicheep, as fast as his short legs could carry him, and then of course the boys and Drinian came, too."
6200,"Show me your poor paw, said Lucy, I might be able to cure it."
6201,"The dragon-that-had-been-Eustace held out its sore leg gladly enough, remembering how Lucy's cordial had cured him of sea-sickness before he became a dragon."
6202,But he was disappointed.
6203,The magic fluid reduced the swelling and eased the pain a little but it could not dissolve the gold.
6204,"Everyone had now crowded round to watch the treatment, and Caspian suddenly exclaimed, Look! He was staring at the bracelet."
6205,  CHAPTER SEVEN  HOW THE ADVENTURE ENDED  LOOK at what? said Edmund.
6206,"Look at the device on the gold, said Caspian."
6207,"A little hammer with a diamond above it like a star, said Drinian."
6208,"Why, I've seen that before."
6209,Seen it! said Caspian.
6210,"Why, of course you have."
6211,It is the sign of a great Narnian house.
6212,This is the Lord Octesian's arm-ring.
6213,"Villain, said Reepicheep to the dragon, have you devoured a Narnian lord? But the dragon shook his head violently."
6214,"Or perhaps, said Lucy, this is the Lord Octesian, turned into a dragon - under an enchantment, you know."
6215,"It needn't be either, said Edmund."
6216,All dragons collect gold.
6217,But I think it's a safe guess that Octesian got no further than this island.
6218,"Are you the Lord Octesian? said Lucy to the dragon, and then, when it sadly shook its head, Are you someone enchanted - someone human, I mean?  It nodded violently."
6219,And then someone said - people disputed afterwards whether Lucy or Edmund said it first - You're not - not Eustace by any chance?  And Eustace nodded his terrible dragon head and thumped his tail in the sea and everyone skipped back (some of the sailors with ejaculations I will not put down in writing) to avoid the enormous and boiling tears which flowed from his eyes.
6220,"Lucy tried hard to console him and even screwed up her courage to kiss the scaly face, and nearly everyone said Hard luck and several assured Eustace that they would all stand by him and many said there was sure to be some way of disenchanting him and they'd have him as right as rain in a day or two."
6221,"And of course they were all very anxious to hear his story, but he couldn't speak."
6222,More than once in the days that followed he attempted to write it for them on the sand.
6223,"But, this never succeeded."
6224,In the first place Eustace (never having read the right books) had no idea how to tell a story straight.
6225,"And for another thing, the muscles and nerves of the dragon-claws that he had to use had never learned to write and were not built for writing anyway."
6226,As a result he never got nearly to the end before the tide came in and washed away all the writing except the bits he had already trodden on or accidentaly swished out with his tail.
6227,And all that anyone had seen would be something like this - the dots are for the bits he had smudged  out I WNET TO SL EE .
6228,.
6229,.
6230,RGOS AGRONS I MEAN DRANGONS  CAVE CAUSE IT-WAS DEAD AND AWING SO HAR .
6231,.
6232,.
6233,WOKE UP AND COU .
6234,.
6235,.
6236,GET OFFF MI ARM OH BOTHER .
6237,.
6238,.
6239,"It was, however, clear to everyone that Eustace's character had been rather improved by becoming a dragon."
6240,He was anxious to help.
6241,He flew over the whole island and found it was all mountainous and inhabited only by wild goats and droves of wild swine.
6242,Of these he brought back many carcasses as provisions for the ship.
6243,"He was a very humane killer too, for he could dispatch a beast with one blow of his tail so that it didn't know (and presumably still doesn't know) it had been killed."
6244,"He ate a few himself, of course, but always alone, for now that he was a dragon he liked his food raw but he could never bear to let others see him at his messy meals."
6245,"And one day, flying slowly and wearily but in great triumph, he bore back to camp a great tall pine tree which he had torn up by the roots in a distant valley and which could be made into a capital mast."
6246,"And in the evening if it turned chilly, as it sometimes did after the heavy rains, he was a comfort to everyone, for the whole party would come and sit with their backs against his hot sides and get well warmed and dried; and one puff of his fiery breath would light the most obstinate fire."
6247,"Sometimes he would take a select party for a fly on his back, so that they could see wheeling below them the green slopes, the rocky heights, the narrow pit-like valleys and far out over the sea to the eastward a spot of darker blue on the blue horizon which might be land."
6248,"The pleasure (quite new to him) of being liked and, still more, of liking other people, was what kept Eustace from despair."
6249,For it was very dreary being a dragon.
6250,He shuddered whenever he caught sight of his own reflection as he flew over a mountain lake.
6251,"He hated the huge batlike wings, the saw-edged ridge on his back, and the cruel, curved claws."
6252,He was almost afraid to be alone with himself and yet he was ashamed to be with the others.
6253,On the evenings when he was not being used as a hot-water bottle he would slink away from the camp and lie curled up like a snake between the wood and the water.
6254,"On such occasions, greatly to his surprise, Reepicheep was his most constant comforter."
6255,"The noble Mouse would creep away from the merry circle at the camp fire and sit down by the dragon's head, well to the windward to be out of the way of his smoky breath."
6256,"There he would explain that what had happened to Eustace was a striking illustration of the turn of Fortune's wheel, and that if he had Eustace at his own house in Narnia (it was really a hole not a house and the dragon's head, let alone his body, would not have fitted in) he could show him more than a hundred examples of emperors, kings, dukes, knights, poets, lovers, astronomers, philosophers, and magicians, who had fallen from prosperity into the most distressing circumstances, and of whom many had recovered and lived happily ever afterwards."
6257,"It did not, perhaps, seem so very comforting at the time, but it was kindly meant and Eustace never forgot it."
6258,But of course what hung over everyone like a cloud was the problem of what to do with their dragon when they were ready to sail.
6259,"They tried not to talk of it when he was there, but he couldn't help overhearing things like, Would he fit all along one side of the deck? And we'd have to shift all the stores to the other side down below so as to balance, or, Would towing him be any good? or Would he be able to keep up by flying? and (most often of all), But how are we to feed him? And poor Eustace realized more and more that since the first day he came on board he had been an unmitigated nuisance and that he was now a greater nuisance still."
6260,"And this ate into his mind, just as that bracelet ate into his foreleg."
6261,"He knew that it only made it worse to tear at it with his great teeth, but he couldn't help tearing now and then, especially on hot nights."
6262,"About six days after they had landed on Dragon Island, Edmund happened to wake up very early one morning."
6263,It was just getting grey so that you could see the tree-trunks if they were between you and the bay but not in the other direction.
6264,"As he woke he thought he heard something moving, so he raised himself on one elbow and looked about him: and presently he thought he saw a dark figure moving on the seaward side of the wood."
6265,"The idea that at once occurred to his mind was, Are we so sure there are no natives on this island after all? Then he thought it was Caspian - it was about the right size - but he knew that Caspian had been sleeping next to him and could see that he hadn't moved."
6266,Edmund made sure that his sword was in its place and then rose to investigate.
6267,He came down softly to the edge of the wood and the dark figure was still there.
6268,He saw now that it was too small for Caspian and too big for Lucy.
6269,It did not run away.
6270,"Edmund drew his sword and was about to challenge the stranger when the stranger said in a low voice, Is that you, Edmund?  Yes."
6271,Who are you? said he.
6272,Don't you know me? said the other.
6273,It's me Eustace.
6274,"By jove, said Edmund, so it is."
6275,"My dear chap -  Hush, said Eustace and lurched as if he were going to fall."
6276,"Hello! said Edmund, steadying him."
6277,"What's up? Are you ill?  Eustace was silent for so long that Edmund thought he was fainting; but at last he said, It's been ghastly."
6278,You don't know .
6279,.
6280,.
6281,but it's all right now.
6282,Could we go and talk somewhere? I don't want to meet the others just yet.
6283,"Yes, rather, anywhere you like, said Edmund."
6284,We can go and sit on the rocks over there.
6285,"I say, I am glad to see you - er - looking yourself again."
6286,You must have had a pretty beastly time.
6287,They went to the rocks and sat down looking out across the bay while the sky got paler and paler and the stars disappeared except for one very bright one low down and near the horizon.
6288,"I won't tell you how I became a - a dragon till I can tell the others and get it all over, said Eustace."
6289,"By the way, I didn't even know it was a dragon till I heard you all using the word when I turned up here the other morning."
6290,I want to tell you how I stopped being one.
6291,"Fire ahead, said Edmund."
6292,"Well, last night I was more miserable than ever."
6293,And that beastly arm-ring was hurting like anything-  Is that all right now?  Eustace laughed - a different laugh from any Edmund had heard him give before - and slipped the bracelet easily off his arm.
6294,"There it is, he said, and anyone who likes can have it as far as I'm concerned."
6295,"Well, as I say, I was lying awake and wondering what on earth would become of me."
6296,"And then - but, mind you, it may have been all a dream."
6297,I don't know.
6298,"Go on, said Edmund, with considerable patience."
6299,"Well, anyway, I looked up and saw the very last thing I expected: a huge lion coming slowly towards me."
6300,"And one queer thing was that there was no moon last night, but there was moonlight where the lion was."
6301,So it came nearer and nearer.
6302,I was terribly afraid of it.
6303,"You may think that, being a dragon, I could have knocked any lion out easily enough."
6304,But it wasn't that kind of fear.
6305,"I wasn't afraid of it eating me, I was just afraid of it - if you can understand."
6306,"Well, it came close up to me and looked straight into my eyes."
6307,And I shut my eyes tight.
6308,But that wasn't any good because it told me to follow it.
6309,You mean it spoke?  I don't know.
6310,"Now that you mention it, I don't think it did."
6311,But it told me all the same.
6312,"And I knew I'd have to do what it told me, so I got up and followed it."
6313,And it led me a long way into the mountains.
6314,And there was always this moonlight over and round the lion wherever we went.
6315,So at last we came to the top of a mountain I'd never seen before and on the top of this mountain there was a garden - trees and fruit and everything.
6316,In the middle of it there was a well.
6317,"I knew it was a well because you could see the water bubbling up from the bottom of it: but it was a lot bigger than most wells - like a very big, round bath with marble steps going down into it."
6318,The water was as clear as anything and I thought if I could get in there and bathe it would ease the pain in my leg.
6319,But the lion told me I must undress first.
6320,"Mind you, I don't know if he said any words out loud or not."
6321,I was just going to say that I couldn't undress because I hadn't any clothes on when I suddenly thought that dragons are snaky sort of things and snakes can cast their skins.
6322,"Oh, of course, thought I, that's what the lion means."
6323,So I started scratching myself and my scales began coming off all over the place.
6324,"And then I scratched a little deeper and, instead of just scales coming off here and there, my whole skin started peeling off beautifully, like it does after an illness, or as if I was a banana."
6325,In a minute or two I just stepped out of it.
6326,"I could see it lying there beside me, looking rather nasty."
6327,It was a most lovely feeling.
6328,So I started to go down into the well for my bathe.
6329,But just as I was going to put my feet into the water I looked down and saw that they were all hard and rough and wrinkled and scaly just as they had been before.
6330,"Oh, that's all right, said I, it only means I had another smaller suit on underneath the first one, and I'll have to get out of it too."
6331,So 1 scratched and tore again and this underskin peeled off beautifully and out I stepped and left it lying beside the other one and went down to the well for my bathe.
6332,"Well, exactly the same thing happened again."
6333,"And I thought to myself, oh dear, how ever many skins have I got to take off? For I was longing to bathe my leg."
6334,"So I scratched away for the third time and got off a third skin, just like the two others, and stepped out of it."
6335,But as soon as I looked at myself in the water I knew it had been no good.
6336,Then the lion said - but I don't know if it spoke - You will have to let me undress you.
6337,"I was afraid of his claws, I can tell you, but I was pretty nearly desperate now."
6338,So I just lay flat down on my back to let him do it.
6339,The very first tear he made was so deep that I thought it had gone right into my heart.
6340,"And when he began pulling the skin off, it hurt worse than anything I've ever felt."
6341,The only thing that made me able to bear it was just the pleasure of feeling the stuff peel off.
6342,You know - if you've ever picked the scab off a sore place.
6343,It hurts like billy-oh but it is such fun to see it coming away.
6344,"I know exactly what you mean, said Edmund."
6345,"Well, he peeled the beastly stuff right off - just as I thought I'd done it myself the other three times, only they hadn't hurt - and there it was lying on the grass: only ever so much thicker, and darker, and more knobbly-looking than the others had been."
6346,And there was I as smooth and soft as a peeled switch and smaller than I had been.
6347,Then he caught hold of me - I didn't like that much for I was very tender underneath now that I'd no skin on - and threw me into the water.
6348,It smarted like anything but only for a moment.
6349,After that it became perfectly delicious and as soon as I started swimming and splashing I found that all the pain had gone from my arm.
6350,And then I saw why.
